Model,Folder,SBERT_Similarity,ROUGE_L_Recall
Llama,,0.5560795863469442,0.1113446044197653
Llama,Analysis of social media posts,0.6368571023146311,0.3187134502923976
Llama,Basic Research from a Non-Human Source Example,0.6347866058349609,0.17432668257924422
Llama,Clinical Data from Human Research Participants,0.5653231044610342,0.17243107769423557
Llama,Clinical and MRI data from human research participants,0.48956547180811566,0.1106643157480478
Llama,Clinical data (human biospecimens),0.565281093120575,0.16721146085552865
Llama,Clinical data from human research participants-NIA,0.7159004608790079,0.2896998431155408
Llama,Drug discovery including intellectual property,0.5903970003128052,0.2064577769092133
Llama,Gene expression analysis data from non-human model organism (zebrafish),0.5716133515040079,0.1746854942233633
Llama,Genomic data from a non-human source,0.3998088886340459,0.24808302539379554
Llama,Genomic data from human research participants,0.5245113174120585,0.0941129356387273
Llama,HeLa Cell Whole Genome Sequence (DNA or RNA),0.5692666272322336,0.31846328274899705
Llama,Human Clinical Trial Data,0.6226789454619089,0.15824706694271912
Llama,Human clinical and genomic data-NIA,0.6250410874684652,0.18417536342064644
Llama,Human clinical and genomics data,0.7247626185417175,0.19719361098671442
Llama,Human genomic data,0.5927476386229197,0.1853708441295021
Llama,Human survey data,0.6334864497184753,0.29633061527057075
Llama,Non-human data (primates),0.628568192323049,0.3036354326676907
Llama,Non-human data (rodents)-NIA,0.7021752993265787,0.1810185185185185
Llama,Secondary Data Analysis Example,0.5634348591168722,0.1810647278796925
Llama,Secondary Data Analysis on Data from Human Subjects-NIA,0.6851380467414856,0.16804159075061295
Llama,Secondary data analysis,0.6108343601226807,0.12706658420944136
Llama,Secondary data analysis-NIA,0.5867120424906412,0.2527885027885028
Llama,Survey and Interview Example,0.6707941591739655,0.18825701060947583
Llama,Survey and interview data-NIA,0.6002495090166727,0.3298059964726631
Llama,"Survey, interview, and biological data (tiered access)",0.6037417451540629,0.2776675485008818
Llama,Technology development,0.6266288558642069,0.23295882731366602
