Model,Element number,SBERT_Similarity,ROUGE_L_Recall
Gpt,element_1a,0.8393780222305884,0.4610290021152413
Gpt,element_1b,0.6100665995707879,0.3034247199065078
Gpt,element_1c,0.6426932135453591,0.2227517629136601
Gpt,element_2,0.5915260085692773,0.23709950835644664
Gpt,element_3,0.5968665904723681,0.25079963397233096
Gpt,element_4a,0.5286712153599813,0.2788536477197612
Gpt,element_4b,0.6691227337488761,0.2841912980798806
Gpt,element_4c,0.6559091943960923,0.27395222065615504
Gpt,element_5a,0.6582723672573383,0.31883220775064597
Gpt,element_5b,0.6169297225200213,0.2546999186929137
Gpt,element_5c,0.6504002752212378,0.26154204308839885
Gpt,element_6,0.6607257987444217,0.2501246193201143
